date,version,prev_date,prev_version,kind,change,name,diff
2025-03-11,0.2.37,2025-03-10,0.2.36,flags,removed,-ea,versions/2025-03-11_0.2.37/diff-from-2025-03-10_0.2.36.md
2025-03-18,0.2.47,2025-03-15,0.2.44,flags,added,--json,versions/2025-03-18_0.2.47/diff-from-2025-03-15_0.2.44.md
2025-03-18,0.2.47,2025-03-15,0.2.44,flags,removed,-c,versions/2025-03-18_0.2.47/diff-from-2025-03-15_0.2.44.md
2025-04-02,0.2.59,2025-03-25,0.2.54,commands,added,migrate-installer,versions/2025-04-02_0.2.59/diff-from-2025-03-25_0.2.54.md
2025-04-09,0.2.66,2025-04-03,0.2.61,flags,added,--output-format,versions/2025-04-09_0.2.66/diff-from-2025-04-03_0.2.61.md
2025-04-30,0.2.93,2025-04-18,0.2.74,flags,added,--disallowedTools,versions/2025-04-30_0.2.93/diff-from-2025-04-18_0.2.74.md
2025-04-30,0.2.93,2025-04-18,0.2.74,flags,added,--mcp-config,versions/2025-04-30_0.2.93/diff-from-2025-04-18_0.2.74.md
2025-04-30,0.2.93,2025-04-18,0.2.74,flags,added,-c,versions/2025-04-30_0.2.93/diff-from-2025-04-18_0.2.74.md
2025-04-30,0.2.93,2025-04-18,0.2.74,flags,added,-r,versions/2025-04-30_0.2.93/diff-from-2025-04-18_0.2.74.md
2025-05-22,1.0.0,2025-05-01,0.2.98,flags,added,--model,versions/2025-05-22_1.0.0/diff-from-2025-05-01_0.2.98.md
2025-05-22,1.0.0,2025-05-01,0.2.98,flags,removed,--json,versions/2025-05-22_1.0.0/diff-from-2025-05-01_0.2.98.md
2025-06-09,1.0.18,2025-06-06,1.0.17,flags,added,--add-dir,versions/2025-06-09_1.0.18/diff-from-2025-06-06_1.0.17.md
2025-06-09,1.0.18,2025-06-06,1.0.17,flags,added,--input-format,versions/2025-06-09_1.0.18/diff-from-2025-06-06_1.0.17.md
2025-06-18,1.0.28,2025-06-17,1.0.27,flags,added,--fallback-model,versions/2025-06-18_1.0.28/diff-from-2025-06-17_1.0.27.md
2025-06-20,1.0.31,2025-06-19,1.0.30,commands,added,install,versions/2025-06-20_1.0.31/diff-from-2025-06-19_1.0.30.md
2025-06-25,1.0.35,2025-06-24,1.0.34,flags,added,--ide,versions/2025-06-25_1.0.35/diff-from-2025-06-24_1.0.34.md
2025-07-07,1.0.44,2025-07-03,1.0.43,flags,added,--strict-mcp-config,versions/2025-07-07_1.0.44/diff-from-2025-07-03_1.0.43.md
2025-07-07,1.0.44,2025-07-03,1.0.43,commands,added,setup-token,versions/2025-07-07_1.0.44/diff-from-2025-07-03_1.0.43.md
2025-07-11,1.0.51,2025-07-10,1.0.48,flags,added,--append-system-prompt,versions/2025-07-11_1.0.51/diff-from-2025-07-10_1.0.48.md
2025-07-15,1.0.52,2025-07-11,1.0.51,flags,added,--permission-mode,versions/2025-07-15_1.0.52/diff-from-2025-07-11_1.0.51.md
2025-07-15,1.0.53,2025-07-15,1.0.52,flags,added,--session-id,versions/2025-07-15_1.0.53/diff-from-2025-07-15_1.0.52.md
2025-07-25,1.0.61,2025-07-24,1.0.60,flags,added,--settings,versions/2025-07-25_1.0.61/diff-from-2025-07-24_1.0.60.md
2025-08-20,1.0.86,2025-08-19,1.0.85,flags,added,--replay-user-messages,versions/2025-08-20_1.0.86/diff-from-2025-08-19_1.0.85.md
2025-09-08,1.0.109,2025-09-04,1.0.106,flags,added,--include-partial-messages,versions/2025-09-08_1.0.109/diff-from-2025-09-04_1.0.106.md
2025-09-18,1.0.119,2025-09-16,1.0.117,flags,added,--fork-session,versions/2025-09-18_1.0.119/diff-from-2025-09-16_1.0.117.md
2025-09-26,1.0.126,2025-09-25,1.0.124,flags,added,--agents,versions/2025-09-26_1.0.126/diff-from-2025-09-25_1.0.124.md
2025-09-26,1.0.126,2025-09-25,1.0.124,flags,added,--setting-sources,versions/2025-09-26_1.0.126/diff-from-2025-09-25_1.0.124.md
2025-09-29,2.0.0,2025-09-26,1.0.126,commands,removed,config,versions/2025-09-29_2.0.0/diff-from-2025-09-26_1.0.126.md
2025-10-09,2.0.12,2025-10-08,2.0.11,commands,added,plugin,versions/2025-10-09_2.0.12/diff-from-2025-10-08_2.0.11.md
2025-10-10,2.0.14,2025-10-09,2.0.13,flags,added,--system-prompt,versions/2025-10-10_2.0.14/diff-from-2025-10-09_2.0.13.md
2025-10-21,2.0.25,2025-10-20,2.0.24,flags,added,--plugin-dir,versions/2025-10-21_2.0.25/diff-from-2025-10-20_2.0.24.md
2025-10-24,2.0.27,2025-10-21,2.0.25,flags,added,--allow-dangerously-skip-permissions,versions/2025-10-24_2.0.27/diff-from-2025-10-21_2.0.25.md
2025-10-31,2.0.31,2025-10-30,2.0.30,flags,added,--tools,versions/2025-10-31_2.0.31/diff-from-2025-10-30_2.0.30.md
2025-11-18,2.0.45,2025-11-17,2.0.43,flags,added,--json-schema,versions/2025-11-18_2.0.45/diff-from-2025-11-17_2.0.43.md
