date,version,models,tool_count,deferred_tool_count,mcp_advertised,mcp_deferred,system_prompt_chars,user_prompt_chars,skill_count,reminder_count
2025-03-10,0.2.36,claude-3-7-sonnet-20250219,10,0,0,0,10317,,,0
2025-03-11,0.2.37,claude-3-7-sonnet-20250219,10,0,0,0,10317,,,0
2025-03-14,0.2.41,claude-3-7-sonnet-20250219,10,0,0,0,10316,,,0
2025-03-15,0.2.44,claude-3-7-sonnet-20250219,12,0,0,0,10901,,,0
2025-03-18,0.2.47,claude-3-7-sonnet-20250219,11,0,0,0,10901,,,0
2025-03-18,0.2.49,claude-3-7-sonnet-20250219,11,0,0,0,10827,,,0
2025-03-19,0.2.50,claude-3-7-sonnet-20250219,11,0,0,0,10827,,,0
2025-03-21,0.2.53,claude-3-7-sonnet-20250219,12,0,0,0,10175,,,0
2025-03-25,0.2.54,claude-3-7-sonnet-20250219,12,0,0,0,10368,,,0
2025-04-02,0.2.59,claude-3-7-sonnet-20250219,12,0,0,0,10368,,,0
2025-04-03,0.2.61,claude-3-7-sonnet-20250219,12,0,0,0,10368,,,0
2025-04-09,0.2.66,claude-3-7-sonnet-20250219,12,0,0,0,10370,,,0
2025-04-09,0.2.67,claude-3-7-sonnet-20250219,12,0,0,0,10370,,,0
2025-04-11,0.2.69,claude-3-7-sonnet-20250219,12,0,0,0,10370,,,0
2025-04-15,0.2.70,claude-3-7-sonnet-20250219,12,0,0,0,10370,,,0
2025-04-17,0.2.72,claude-3-7-sonnet-20250219,12,0,0,0,10370,,,0
2025-04-18,0.2.74,claude-3-7-sonnet-20250219,12,0,0,0,10370,,,0
2025-04-30,0.2.93,claude-3-5-haiku-20241022|claude-3-7-sonnet-20250219,14,0,0,0,12914,,,0
2025-05-01,0.2.96,claude-3-5-haiku-20241022|claude-3-7-sonnet-20250219,14,0,0,0,13274,,,0
2025-05-01,0.2.98,,,,,,,,,
2025-05-22,1.0.0,claude-3-5-haiku-20241022|claude-opus-4-20250514,15,0,0,0,12993,,,1
2025-05-22,1.0.1,claude-3-5-haiku-20241022|claude-opus-4-20250514,15,0,0,0,12993,,,1
2025-05-29,1.0.6,claude-3-5-haiku-20241022|claude-opus-4-20250514,15,0,0,0,13122,,,1
2025-05-30,1.0.7,claude-3-5-haiku-20241022|claude-opus-4-20250514,15,0,0,0,13228,,,1
2025-06-02,1.0.8,claude-3-5-haiku-20241022|claude-opus-4-20250514,15,0,0,0,13228,,,1
2025-06-03,1.0.10,claude-3-5-haiku-20241022|claude-opus-4-20250514,15,0,0,0,13228,,,1
2025-06-04,1.0.11,claude-3-5-haiku-20241022|claude-opus-4-20250514,15,0,0,0,13228,,,1
2025-06-06,1.0.17,claude-3-5-haiku-20241022|claude-opus-4-20250514,15,0,0,0,13228,,,1
2025-06-09,1.0.18,claude-3-5-haiku-20241022|claude-opus-4-20250514,15,0,0,0,13228,,,1
2025-06-11,1.0.21,claude-3-5-haiku-20241022|claude-opus-4-20250514,16,0,0,0,13029,,,1
2025-06-12,1.0.22,claude-3-5-haiku-20241022|claude-opus-4-20250514,16,0,0,0,13029,,,1
2025-06-13,1.0.23,claude-3-5-haiku-20241022|claude-opus-4-20250514,16,0,0,0,13031,,,1
2025-06-14,1.0.24,claude-3-5-haiku-20241022|claude-opus-4-20250514,16,0,0,0,13031,,,1
2025-06-16,1.0.25,claude-3-5-haiku-20241022|claude-opus-4-20250514,16,0,0,0,13031,,,1
2025-06-17,1.0.27,claude-3-5-haiku-20241022|claude-opus-4-20250514,16,0,0,0,13031,,,1
2025-06-18,1.0.28,claude-3-5-haiku-20241022|claude-opus-4-20250514,16,0,0,0,13031,,,1
2025-06-18,1.0.29,claude-3-5-haiku-20241022|claude-opus-4-20250514,16,0,0,0,13031,,,1
2025-06-19,1.0.30,claude-3-5-haiku-20241022|claude-opus-4-20250514,16,0,0,0,13031,,,1
2025-06-20,1.0.31,claude-3-5-haiku-20241022|claude-opus-4-20250514,16,0,0,0,12509,,,1
2025-06-23,1.0.32,claude-3-5-haiku-20241022|claude-opus-4-20250514,16,0,0,0,12509,,,1
2025-06-23,1.0.33,claude-3-5-haiku-20241022|claude-opus-4-20250514,16,0,0,0,12509,,,1
2025-06-24,1.0.34,claude-3-5-haiku-20241022|claude-opus-4-20250514,16,0,0,0,12511,,,1
2025-06-25,1.0.35,claude-3-5-haiku-20241022|claude-opus-4-20250514,16,0,0,0,12230,,,1
2025-06-27,1.0.36,claude-3-5-haiku-20241022|claude-opus-4-20250514,16,0,0,0,12230,,,1
2025-06-27,1.0.37,claude-3-5-haiku-20241022|claude-opus-4-20250514,16,0,0,0,12230,,,1
2025-06-30,1.0.38,claude-3-5-haiku-20241022|claude-opus-4-20250514,16,0,0,0,12497,,,1
2025-07-01,1.0.39,claude-3-5-haiku-20241022|claude-opus-4-20250514,16,0,0,0,12497,,,1
2025-07-01,1.0.40,claude-3-5-haiku-20241022|claude-opus-4-20250514,16,0,0,0,12497,,,1
2025-07-02,1.0.41,claude-3-5-haiku-20241022|claude-opus-4-20250514,16,0,0,0,12497,,,1
2025-07-03,1.0.42,claude-3-5-haiku-20241022|claude-opus-4-20250514,16,0,0,0,12668,,,1
2025-07-03,1.0.43,claude-3-5-haiku-20241022|claude-opus-4-20250514,16,0,0,0,12668,,,1
2025-07-07,1.0.44,claude-3-5-haiku-20241022|claude-opus-4-20250514,15,0,0,0,12655,,,1
2025-07-08,1.0.45,claude-3-5-haiku-20241022|claude-opus-4-20250514,15,0,0,0,12656,,,1
2025-07-10,1.0.48,claude-3-5-haiku-20241022|claude-opus-4-20250514,15,0,0,0,12656,,,1
2025-07-11,1.0.51,claude-3-5-haiku-20241022|claude-opus-4-20250514,15,0,0,0,12655,,,1
2025-07-15,1.0.52,claude-3-5-haiku-20241022|claude-opus-4-20250514,15,0,0,0,12655,,,1
2025-07-15,1.0.53,claude-3-5-haiku-20241022|claude-opus-4-20250514,15,0,0,0,13043,,,1
2025-07-16,1.0.54,claude-3-5-haiku-20241022|claude-opus-4-20250514,15,0,0,0,13043,,,1
2025-07-17,1.0.55,claude-3-5-haiku-20241022|claude-opus-4-20250514,15,0,0,0,13043,,,1
2025-07-18,1.0.56,claude-3-5-haiku-20241022|claude-opus-4-20250514,15,0,0,0,13088,,,1
2025-07-21,1.0.57,claude-3-5-haiku-20241022|claude-opus-4-20250514,15,0,0,0,13088,,,1
2025-07-22,1.0.58,claude-3-5-haiku-20241022|claude-opus-4-20250514,15,0,0,0,13088,,,1
2025-07-23,1.0.59,claude-3-5-haiku-20241022|claude-opus-4-20250514,15,0,0,0,13085,,,1
2025-07-24,1.0.60,claude-3-5-haiku-20241022|claude-opus-4-20250514,15,0,0,0,13207,,,1
2025-07-25,1.0.61,claude-3-5-haiku-20241022|claude-opus-4-20250514,15,0,0,0,13207,,,1
2025-07-28,1.0.62,claude-3-5-haiku-20241022|claude-opus-4-20250514,15,0,0,0,13207,,,1
2025-07-29,1.0.63,claude-3-5-haiku-20241022|claude-opus-4-20250514,15,0,0,0,13073,,,1
2025-07-30,1.0.64,claude-3-5-haiku-20241022|claude-opus-4-20250514,15,0,0,0,12776,,,1
2025-07-31,1.0.65,claude-3-5-haiku-20241022|claude-opus-4-20250514,15,0,0,0,12776,,,1
2025-08-04,1.0.68,claude-3-5-haiku-20241022|claude-opus-4-20250514,14,0,0,0,12776,,,1
2025-08-05,1.0.69,claude-3-5-haiku-20241022|claude-opus-4-1-20250805,14,0,0,0,12780,,,1
2025-08-06,1.0.70,claude-3-5-haiku-20241022|claude-opus-4-1-20250805,14,0,0,0,12772,,,1
2025-08-07,1.0.71,claude-3-5-haiku-20241022|claude-opus-4-1-20250805,14,0,0,0,12772,,,1
2025-08-08,1.0.72,claude-3-5-haiku-20241022|claude-opus-4-1-20250805,16,0,0,0,12772,,,1
2025-08-11,1.0.73,claude-3-5-haiku-20241022|claude-opus-4-1-20250805,16,0,0,0,12772,,,1
2025-08-12,1.0.77,claude-3-5-haiku-20241022|claude-opus-4-1-20250805,16,0,0,0,12772,,,1
2025-08-13,1.0.80,claude-3-5-haiku-20241022|claude-opus-4-1-20250805,16,0,0,0,12772,,,1
2025-08-14,1.0.81,claude-3-5-haiku-20241022|claude-opus-4-1-20250805,16,0,0,0,12772,,,1
2025-08-15,1.0.82,claude-3-5-haiku-20241022|claude-opus-4-1-20250805,16,0,0,0,12772,,,1
2025-08-15,1.0.83,claude-3-5-haiku-20241022|claude-opus-4-1-20250805,16,0,0,0,12772,,,1
2025-08-18,1.0.84,claude-3-5-haiku-20241022|claude-opus-4-1-20250805,16,0,0,0,12772,,,1
2025-08-19,1.0.85,claude-3-5-haiku-20241022|claude-opus-4-1-20250805,16,0,0,0,12772,,,1
2025-08-20,1.0.86,claude-3-5-haiku-20241022|claude-opus-4-1-20250805,16,0,0,0,12772,,,1
2025-08-22,1.0.88,claude-3-5-haiku-20241022|claude-opus-4-1-20250805,16,0,0,0,12307,,,1
2025-08-24,1.0.90,claude-3-5-haiku-20241022|claude-opus-4-1-20250805,16,0,0,0,12307,,,1
2025-08-26,1.0.93,claude-3-5-haiku-20241022|claude-opus-4-1-20250805,16,0,0,0,12307,,,1
2025-08-27,1.0.94,claude-3-5-haiku-20241022|claude-opus-4-1-20250805,16,0,0,0,12307,,,1
2025-09-04,1.0.106,claude-3-5-haiku-20241022|claude-opus-4-1-20250805,15,0,0,0,13218,,,1
2025-09-08,1.0.109,claude-3-5-haiku-20241022|claude-opus-4-1-20250805,15,0,0,0,13218,,,1
2025-09-09,1.0.110,claude-3-5-haiku-20241022|claude-opus-4-1-20250805,15,0,0,0,13218,,,1
2025-09-10,1.0.111,claude-3-5-haiku-20241022|claude-opus-4-1-20250805,15,0,0,0,13476,,,1
2025-09-12,1.0.112,claude-3-5-haiku-20241022|claude-opus-4-1-20250805,15,0,0,0,13476,,,1
2025-09-13,1.0.113,claude-3-5-haiku-20241022|claude-opus-4-1-20250805,15,0,0,0,13476,,,1
2025-09-16,1.0.115,claude-3-5-haiku-20241022|claude-opus-4-1-20250805,15,0,0,0,13476,,,1
2025-09-16,1.0.117,claude-3-5-haiku-20241022|claude-opus-4-1-20250805,15,0,0,0,13476,,,1
2025-09-18,1.0.119,claude-3-5-haiku-20241022|claude-opus-4-1-20250805,15,0,0,0,13548,,,1
2025-09-19,1.0.120,claude-3-5-haiku-20241022|claude-opus-4-1-20250805,15,0,0,0,13545,,,1
2025-09-23,1.0.123,claude-3-5-haiku-20241022|claude-opus-4-1-20250805,16,0,0,0,13545,,,1
2025-09-25,1.0.124,claude-3-5-haiku-20241022|claude-opus-4-1-20250805,16,0,0,0,13545,,,1
2025-09-26,1.0.126,claude-3-5-haiku-20241022|claude-opus-4-1-20250805,16,0,0,0,13545,,,1
2025-09-29,2.0.0,claude-3-5-haiku-20241022|claude-sonnet-4-5-20250929,15,0,0,0,12339,,,1
2025-09-30,2.0.1,claude-3-5-haiku-20241022|claude-sonnet-4-5-20250929,15,0,0,0,12339,,,1
2025-10-02,2.0.5,claude-3-5-haiku-20241022|claude-sonnet-4-5-20250929,15,0,0,0,12339,,,1
2025-10-04,2.0.8,claude-3-5-haiku-20241022|claude-sonnet-4-5-20250929,15,0,0,0,12474,,,0
