date,version,prev_date,prev_version,change,name,diff
2026-01-29,2.1.23,2026-01-28,2.1.22,added,keybindings-help,versions/2026-01-29_2.1.23/diff-from-2026-01-28_2.1.22.md
2026-02-18,2.1.47,2026-02-17,2.1.45,added,claude-developer-platform,versions/2026-02-18_2.1.47/diff-from-2026-02-17_2.1.45.md
2026-02-23,2.1.51,2026-02-20,2.1.50,description_changed,claude-developer-platform,versions/2026-02-23_2.1.51/diff-from-2026-02-20_2.1.50.md
2026-02-28,2.1.63,2026-02-27,2.1.62,added,simplify,versions/2026-02-28_2.1.63/diff-from-2026-02-27_2.1.62.md
2026-02-28,2.1.63,2026-02-27,2.1.62,description_changed,claude-developer-platform,versions/2026-02-28_2.1.63/diff-from-2026-02-27_2.1.62.md
2026-03-04,2.1.69,2026-03-04,2.1.68,added,claude-api,versions/2026-03-04_2.1.69/diff-from-2026-03-04_2.1.68.md
2026-03-04,2.1.69,2026-03-04,2.1.68,removed,claude-developer-platform,versions/2026-03-04_2.1.69/diff-from-2026-03-04_2.1.68.md
2026-03-06,2.1.71,2026-03-06,2.1.70,added,loop,versions/2026-03-06_2.1.71/diff-from-2026-03-06_2.1.70.md
2026-03-16,2.1.77,2026-03-14,2.1.76,added,update-config,versions/2026-03-16_2.1.77/diff-from-2026-03-14_2.1.76.md
2026-03-24,2.1.83,2026-03-20,2.1.81,added,schedule,versions/2026-03-24_2.1.83/diff-from-2026-03-20_2.1.81.md
2026-03-27,2.1.86,2026-03-26,2.1.85,description_changed,loop,versions/2026-03-27_2.1.86/diff-from-2026-03-26_2.1.85.md
2026-03-27,2.1.86,2026-03-26,2.1.85,description_changed,schedule,versions/2026-03-27_2.1.86/diff-from-2026-03-26_2.1.85.md
2026-03-27,2.1.86,2026-03-26,2.1.85,description_changed,update-config,versions/2026-03-27_2.1.86/diff-from-2026-03-26_2.1.85.md
2026-04-08,2.1.97,2026-04-08,2.1.96,description_changed,claude-api,versions/2026-04-08_2.1.97/diff-from-2026-04-08_2.1.96.md
2026-04-10,2.1.101,2026-04-09,2.1.98,description_changed,claude-api,versions/2026-04-10_2.1.101/diff-from-2026-04-09_2.1.98.md
2026-04-10,2.1.101,2026-04-09,2.1.98,description_changed,loop,versions/2026-04-10_2.1.101/diff-from-2026-04-09_2.1.98.md
2026-04-13,2.1.105,2026-04-10,2.1.101,description_changed,loop,versions/2026-04-13_2.1.105/diff-from-2026-04-10_2.1.101.md
2026-04-13,2.1.105,2026-04-10,2.1.101,description_changed,schedule,versions/2026-04-13_2.1.105/diff-from-2026-04-10_2.1.101.md
2026-04-13,2.1.105,2026-04-10,2.1.101,description_changed,update-config,versions/2026-04-13_2.1.105/diff-from-2026-04-10_2.1.101.md
2026-04-14,2.1.108,2026-04-14,2.1.107,added,init,versions/2026-04-14_2.1.108/diff-from-2026-04-14_2.1.107.md
2026-04-14,2.1.108,2026-04-14,2.1.107,added,insights,versions/2026-04-14_2.1.108/diff-from-2026-04-14_2.1.107.md
2026-04-14,2.1.108,2026-04-14,2.1.107,added,review,versions/2026-04-14_2.1.108/diff-from-2026-04-14_2.1.107.md
2026-04-14,2.1.108,2026-04-14,2.1.107,added,security-review,versions/2026-04-14_2.1.108/diff-from-2026-04-14_2.1.107.md
2026-04-14,2.1.108,2026-04-14,2.1.107,added,statusline,versions/2026-04-14_2.1.108/diff-from-2026-04-14_2.1.107.md
2026-04-14,2.1.108,2026-04-14,2.1.107,added,team-onboarding,versions/2026-04-14_2.1.108/diff-from-2026-04-14_2.1.107.md
2026-04-15,2.1.110,2026-04-15,2.1.109,removed,insights,versions/2026-04-15_2.1.110/diff-from-2026-04-15_2.1.109.md
2026-04-15,2.1.110,2026-04-15,2.1.109,removed,statusline,versions/2026-04-15_2.1.110/diff-from-2026-04-15_2.1.109.md
2026-04-15,2.1.110,2026-04-15,2.1.109,removed,team-onboarding,versions/2026-04-15_2.1.110/diff-from-2026-04-15_2.1.109.md
2026-04-16,2.1.111,2026-04-15,2.1.110,added,less-permission-prompts,versions/2026-04-16_2.1.111/diff-from-2026-04-15_2.1.110.md
2026-04-16,2.1.111,2026-04-15,2.1.110,description_changed,claude-api,versions/2026-04-16_2.1.111/diff-from-2026-04-15_2.1.110.md
2026-04-17,2.1.113,2026-04-16,2.1.112,added,fewer-permission-prompts,versions/2026-04-17_2.1.113/diff-from-2026-04-16_2.1.112.md
2026-04-17,2.1.113,2026-04-16,2.1.112,removed,less-permission-prompts,versions/2026-04-17_2.1.113/diff-from-2026-04-16_2.1.112.md
2026-04-21,2.1.117,2026-04-20,2.1.116,description_changed,schedule,versions/2026-04-21_2.1.117/diff-from-2026-04-20_2.1.116.md
2026-04-22,2.1.118,2026-04-21,2.1.117,description_changed,update-config,versions/2026-04-22_2.1.118/diff-from-2026-04-21_2.1.117.md
2026-04-24,2.1.120,2026-04-23,2.1.119,description_changed,schedule,versions/2026-04-24_2.1.120/diff-from-2026-04-23_2.1.119.md
