date,version,prev_date,prev_version,change,name,diff
2025-03-14,0.2.41,2025-03-11,0.2.37,modified,Bash,versions/2025-03-14_0.2.41/diff-from-2025-03-11_0.2.37.md
2025-03-14,0.2.41,2025-03-11,0.2.37,modified,View,versions/2025-03-14_0.2.41/diff-from-2025-03-11_0.2.37.md
2025-03-14,0.2.41,2025-03-11,0.2.37,modified,dispatch_agent,versions/2025-03-14_0.2.41/diff-from-2025-03-11_0.2.37.md
2025-03-15,0.2.44,2025-03-14,0.2.41,added,BatchTool,versions/2025-03-15_0.2.44/diff-from-2025-03-14_0.2.41.md
2025-03-15,0.2.44,2025-03-14,0.2.41,added,WebFetchTool,versions/2025-03-15_0.2.44/diff-from-2025-03-14_0.2.41.md
2025-03-18,0.2.47,2025-03-15,0.2.44,removed,WebFetchTool,versions/2025-03-18_0.2.47/diff-from-2025-03-15_0.2.44.md
2025-03-18,0.2.47,2025-03-15,0.2.44,modified,Bash,versions/2025-03-18_0.2.47/diff-from-2025-03-15_0.2.44.md
2025-03-18,0.2.47,2025-03-15,0.2.44,modified,BatchTool,versions/2025-03-18_0.2.47/diff-from-2025-03-15_0.2.44.md
2025-03-18,0.2.47,2025-03-15,0.2.44,modified,dispatch_agent,versions/2025-03-18_0.2.47/diff-from-2025-03-15_0.2.44.md
2025-03-21,0.2.53,2025-03-19,0.2.50,added,WebFetchTool,versions/2025-03-21_0.2.53/diff-from-2025-03-19_0.2.50.md
2025-03-21,0.2.53,2025-03-19,0.2.50,modified,BatchTool,versions/2025-03-21_0.2.53/diff-from-2025-03-19_0.2.50.md
2025-03-21,0.2.53,2025-03-19,0.2.50,modified,dispatch_agent,versions/2025-03-21_0.2.53/diff-from-2025-03-19_0.2.50.md
2025-03-25,0.2.54,2025-03-21,0.2.53,modified,Bash,versions/2025-03-25_0.2.54/diff-from-2025-03-21_0.2.53.md
2025-03-25,0.2.54,2025-03-21,0.2.53,modified,BatchTool,versions/2025-03-25_0.2.54/diff-from-2025-03-21_0.2.53.md
2025-03-25,0.2.54,2025-03-21,0.2.53,modified,View,versions/2025-03-25_0.2.54/diff-from-2025-03-21_0.2.53.md
2025-03-25,0.2.54,2025-03-21,0.2.53,modified,WebFetchTool,versions/2025-03-25_0.2.54/diff-from-2025-03-21_0.2.53.md
2025-04-02,0.2.59,2025-03-25,0.2.54,modified,Bash,versions/2025-04-02_0.2.59/diff-from-2025-03-25_0.2.54.md
2025-04-02,0.2.59,2025-03-25,0.2.54,modified,BatchTool,versions/2025-04-02_0.2.59/diff-from-2025-03-25_0.2.54.md
2025-04-02,0.2.59,2025-03-25,0.2.54,modified,Edit,versions/2025-04-02_0.2.59/diff-from-2025-03-25_0.2.54.md
2025-04-02,0.2.59,2025-03-25,0.2.54,modified,GlobTool,versions/2025-04-02_0.2.59/diff-from-2025-03-25_0.2.54.md
2025-04-02,0.2.59,2025-03-25,0.2.54,modified,View,versions/2025-04-02_0.2.59/diff-from-2025-03-25_0.2.54.md
2025-04-09,0.2.66,2025-04-03,0.2.61,modified,Bash,versions/2025-04-09_0.2.66/diff-from-2025-04-03_0.2.61.md
2025-04-09,0.2.66,2025-04-03,0.2.61,modified,BatchTool,versions/2025-04-09_0.2.66/diff-from-2025-04-03_0.2.61.md
2025-04-15,0.2.70,2025-04-11,0.2.69,modified,Bash,versions/2025-04-15_0.2.70/diff-from-2025-04-11_0.2.69.md
2025-04-15,0.2.70,2025-04-11,0.2.69,modified,BatchTool,versions/2025-04-15_0.2.70/diff-from-2025-04-11_0.2.69.md
2025-04-17,0.2.72,2025-04-15,0.2.70,modified,BatchTool,versions/2025-04-17_0.2.72/diff-from-2025-04-15_0.2.70.md
2025-04-17,0.2.72,2025-04-15,0.2.70,modified,View,versions/2025-04-17_0.2.72/diff-from-2025-04-15_0.2.70.md
2025-04-17,0.2.72,2025-04-15,0.2.70,modified,dispatch_agent,versions/2025-04-17_0.2.72/diff-from-2025-04-15_0.2.70.md
2025-04-18,0.2.74,2025-04-17,0.2.72,modified,Bash,versions/2025-04-18_0.2.74/diff-from-2025-04-17_0.2.72.md
2025-04-18,0.2.74,2025-04-17,0.2.72,modified,BatchTool,versions/2025-04-18_0.2.74/diff-from-2025-04-17_0.2.72.md
2025-04-30,0.2.93,2025-04-18,0.2.74,added,Batch,versions/2025-04-30_0.2.93/diff-from-2025-04-18_0.2.74.md
2025-04-30,0.2.93,2025-04-18,0.2.74,added,Glob,versions/2025-04-30_0.2.93/diff-from-2025-04-18_0.2.74.md
2025-04-30,0.2.93,2025-04-18,0.2.74,added,Grep,versions/2025-04-30_0.2.93/diff-from-2025-04-18_0.2.74.md
2025-04-30,0.2.93,2025-04-18,0.2.74,added,NotebookEdit,versions/2025-04-30_0.2.93/diff-from-2025-04-18_0.2.74.md
2025-04-30,0.2.93,2025-04-18,0.2.74,added,NotebookRead,versions/2025-04-30_0.2.93/diff-from-2025-04-18_0.2.74.md
